id,area,feature,files,user_story,expected_behaviour,status,test_method,test_result,issues,severity,fix_status,notes
MODAL-15,Modal,Words-learned sheet,components/modals/instances/WordsLearnedSheet.tsx,As a user I browse all learned words grouped by lesson with audio.,"Back + title + count; grouped sections; rows translit/Kannada/English + audio; tap plays TTS, fail -> toast.",Tested,code-trace,PASS,,,,
STATE-01,States,Brand splash,components/states/BrandSplash.tsx,As a user I see a branded splash while the app boots.,Red radial + watermark; icon tile scale-in; wordmark/subtitle rise (staggered); gold loader + tagline; reduce-motion -> static fade.,Tested,code-trace,PASS,,,,
STATE-02,States,Spinner + loading screen,"components/states/BrandSpinner.tsx, LoadingScreen.tsx","As a user I see a spinner while content loads, without being trapped.",Red ring 0.9s/turn (always spins); LoadingScreen cream bg + spinner + label + optional back chip.,Tested,code-trace,PASS,,,,
STATE-03,States,Error state,components/states/ErrorState.tsx,As a user I see a recoverable error with retry.,"Red well + alert icon, title+body, 'Try again' + optional 'Get help'.",Tested,code-trace,PASS,,,,
STATE-04,States,Offline + scaffold,"components/states/OfflineState.tsx, SystemStateScreen.tsx","As a user offline I see a cautionary screen, not an error.","Orange wifi-off well, 'Try again' + optional 'Practice offline'; shared SystemStateScreen scaffold w/ staggered rise.",Tested,code-trace,PASS,,,,
STATE-05,States,Empty states,components/states/empties/TabEmpties.tsx,As a user I see helpful empty states per tab.,GamesLockedEmpty + NoStreakEmpty: watermark + TopBar + hero well + title + body + single CTA.,Tested,code-trace,PASS,,,,
STATE-06,States,Skeletons,"components/states/Skeleton.tsx, skeletons/TabSkeletons.tsx",As a user I see layout-matching skeletons while tabs load.,"Shimmer blocks (gradient sweep 1.5s, reduce-motion static); per-tab skeletons mirror final layout; opacity falloff hints more content.",Tested,code-trace,PASS,,,,
INFRA-01,Infra,Progress store,stores/progressStore.ts,"As the system I track streak, completions, XP, and daily activity, surviving reinstalls.",Idempotent completeLesson; XP 20 if score>=80 else 10; streak +1 if lastActive=yesterday else reset 1; daily listen/speak/practice rolls at midnight; server hydration adopts fresher values; AsyncStorage + legacy-key migration.,Tested,code-trace;jest,PASS,ISS-13,Low,ISS-13 Done,
INFRA-02,Infra,User store,stores/useUserStore.ts,As the system I persist per-user onboarding/prefs and per-device flags.,Per-user fields wiped on resetForUser; per-device (mode/warnings/denials) survive; monotonic onboarding flag; hydrateFromUserRow DB-first.,Tested,code-trace,PASS,,,,
INFRA-03,Infra,Device TTS audio service,"services/audio/deviceTtsAudioService.ts, services/audio/bundledAudio.ts","As a user I hear Kannada audio (bundled clip first, else device TTS) at my chosen speed.",play() tries bundled clip then Speech.speak; stops prior playback; applies ttsRate 0.5-1.5; pitch correction on clips; recording (mic permission) + playback; isKannadaVoiceAvailable cached probe.,Tested,code-trace,PASS,,,,
INFRA-04,Infra,App bootstrap / AppGate,app/_layout.tsx,As a user I boot into the right place (auth/onboarding/tabs) with crash safety.,"ErrorBoundary+Sentry; fonts; TtsProbe one-time warning; AppGate subscribes to auth, hydrates stores, retries onboarding sync, re-arms reminders, backfills completions; routing gates on auth/hydration/onboarding.",Tested,code-trace,PASS,ISS-02,Med,ISS-02 Done,
